animal_id,name,datetime,intake_type,intake_condition,animal_type,sex_upon_intake,age_upon_intake,breed,color
A924851,Kane,02/16/2025 12:13:00 PM,Owner Surrender,Normal,Dog,Neutered Male,4 years,American Staffordshire Terrier,White
A924955,*Piggle,02/17/2025 07:15:00 PM,Abandoned,Normal,Dog,Intact Male,3 years,Pit Bull,Blue
A924980,*Trish,02/18/2025 11:10:00 AM,Stray,Normal,Dog,Intact Female,2 years,Labrador Retriever,Black/White
A924994,*Lola,02/18/2025 11:54:00 AM,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby
A925027,*Chance,02/18/2025 04:30:00 PM,Stray,Injured,Dog,Intact Male,3 years,Chihuahua Shorthair,Red
A925063,*Tofu,02/19/2025 11:52:00 AM,Stray,Normal,Dog,Intact Male,1 year,Pit Bull Mix,Blue/White
A925072,*Razzle Dazzle,02/19/2025 12:38:00 PM,Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair,Brown Tabby
A924960,*Goose,02/20/2025 01:17:00 PM,Stray,Normal,Dog,Neutered Male,2 years,Pit Bull,Brown/White
A924608,*Stella,02/20/2025 03:01:00 PM,Stray,Normal,Dog,Intact Female,1 year,Pit Bull,Brown Brindle/White
A925194,Zoey,02/21/2025 12:33:00 PM,Stray,Injured,Dog,Intact Female,2 years,Cairn Terrier Mix,Tan
A925219,*Rosemary,02/21/2025 03:42:00 PM,Stray,Injured,Dog,Spayed Female,5 months,Labrador Retriever Mix,Black/White
A925242,*Hannah,02/22/2025 07:01:00 AM,Stray,Sick,Cat,Intact Female,1 year,Domestic Medium Hair,Black
A925360,*Ukulele,02/23/2025 07:17:00 AM,Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby/White
A925308,*Raven,02/23/2025 11:48:00 AM,Stray,Normal,Cat,Neutered Male,2 years,Domestic Shorthair,Black
A925407,*Cricket,02/24/2025 10:48:00 AM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Black
A925402,Galleta,02/24/2025 11:18:00 AM,Owner Surrender,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Brown
A925404,*Lainey,02/24/2025 11:21:00 AM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby
A925463,*Dole Whip,02/24/2025 03:37:00 PM,Stray,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby
A924547,*Stanley,02/24/2025 03:51:00 PM,Stray,Normal,Dog,Intact Male,10 months,Black Mouth Cur,Brown
A925529,Hoku,02/25/2025 12:10:00 PM,Stray,Med Attn,Dog,Spayed Female,1 year,Labrador Retriever/Pit Bull,Black/White
A925497,*Vivian,02/25/2025 12:21:00 PM,Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black/White
